ct2010full,boro,count,pop0518,Pct_PrivVeh,medhhinc1,AADT1,frag_index
36005032300,Bronx,0,473,0.4635,81914,8628,1.9331
36005032400,Bronx,7,519,0.3561,28832,9066,0.2115
36005032600,Bronx,6,457,0.6091,68603,9066,-1.1207
36005032800,Bronx,9,789,0.2935,37344,14678,-0.3411
36005033000,Bronx,25,957,0.1494,39018,14678,0.761
36005033201,Bronx,14,542,0.308,44602,14678,1.0179
36005033202,Bronx,6,614,0.4293,40083,10157,2.2294
36005033500,Bronx,0,286,0.3154,87798,80484,0.2738
36005033600,Bronx,5,1216,0.3247,32355,19546,-0.1521
36005033700,Bronx,3,405,0.4968,81250,8628,0.322
36005033800,Bronx,8,754,0.339,36667,8494,0.492
36005034000,Bronx,3,917,0.2681,37337,14678,1.1219
36005034200,Bronx,6,336,0.3972,43250,14678,-1.5615
36005034300,Bronx,1,233,0.4699,70194,11876,0.941
36005034400,Bronx,3,334,0.4977,68750,14678,-4.2166
36005034500,Bronx,0,445,0.4219,62973,11876,1.3476
36005034800,Bronx,9,1218,0.2559,36233,18427,-2.3113
36005035000,Bronx,9,389,0.5168,57292,8494,-0.6175
36005035100,Bronx,1,262,0.3646,70215,80484,1.9734
36005035600,Bronx,7,416,0.3633,56845,19345,-3.6526
36005035800,Bronx,19,1254,0.5238,66639,21104,-3.0816
36005035900,Bronx,5,448,0.2399,20708,223380,0.6341
36005036000,Bronx,7,396,0.4856,82895,16572,-2.6436
36005036100,Bronx,20,1383,0.1166,17380,9460,5e-4
36005036300,Bronx,32,1941,0.2154,19396,21391,-0.6298
36005036400,Bronx,5,503,0.407,45288,21104,-1.5188
36005036501,Bronx,8,941,0.1682,19747,21391,1.0607
36005036502,Bronx,12,584,0.1993,18667,223380,1.7271
36005036700,Bronx,1,635,0.2218,23224,10891,2.0618
36005036800,Bronx,4,427,0.482,61842,18427,-1.6059
36005036901,Bronx,15,485,0.1593,17292,223380,2.8968
36005036902,Bronx,5,489,0.3328,25313,223380,0.9374
36005037000,Bronx,2,471,0.4908,52813,18427,-0.548
36005037100,Bronx,23,843,0.2478,19125,14936,3.178
36005037200,Bronx,12,415,0.2718,47625,18427,1.0637
36005037300,Bronx,18,1312,0.2953,30365,14936,1.3581
36005037400,Bronx,29,694,0.2155,22486,18427,0.3333
36005037504,Bronx,12,806,0.2144,20959,14936,1.3327
36005037600,Bronx,3,399,0.2912,49104,18427,-0.2873
36005037800,Bronx,12,600,0.3834,40076,5595,-0.6858
36005037900,Bronx,23,1228,0.1274,25085,17573,1.9229
36005038000,Bronx,16,830,0.2359,34572,18427,0.6009
36005038100,Bronx,12,1253,0.1852,24853,23255,0.5527
36005038200,Bronx,6,586,0.402,45256,7839,-2.3217
36005038301,Bronx,21,1059,0.196,24612,23255,1.4821
36005038302,Bronx,16,1511,0.1016,16756,35267,0.5914
36005038500,Bronx,24,1195,0.2172,18578,35267,1.6388
36005038600,Bronx,27,1486,0.3231,52165,11169,2.2893
36005038700,Bronx,7,639,0.2032,21190,35267,5.3894
36005038800,Bronx,7,537,0.4474,56607,7839,-0.4819
36005038900,Bronx,21,1011,0.1697,25953,35267,3.554
36005039000,Bronx,8,674,0.3398,34531,10157,2.419
36005039100,Bronx,23,1624,0.2437,24043,8997,1.724
