census_tract,ped_injury_5to18,youth_pop_5to18,commute_priv_vehicle,med_hhincome,avg_ann_daily_traffic,fragment_index
36005039200,6,373,0.339089482,35515,10157,1.663998822
36005039300,21,1842,0.133559067,19025,35267,2.292414149
36005039400,6,886,0.269152196,34348,10157,-0.432098976
36005039500,35,856,0.363153904,23529,14936,3.240258234
36005039600,15,796,0.356398104,24909,8385,2.363797701
36005039700,9,194,0.119047619,18945,16467,5.890860794
36005039800,4,644,0.583031182,70230,8385,-0.340985737
36005039901,33,1086,0.146896128,24936,35682,0.330005652
36005039902,42,1145,0.139040349,24852,35682,0.894524562
36005040100,8,970,0.143597719,36220,30481,0.846268998
36005040302,5,962,0.120638675,22318,24147,2.127857949
36005040303,3,883,0.146871686,37045,14621,1.215037497
36005040304,27,771,0.191952507,36481,14621,3.43305862
36005040400,7,614,0.4646098,35329,9491,-0.283695924
36005040501,14,933,0.180426099,29647,6989,2.139783239
36005040502,12,1423,0.114561028,22626,6989,2.317020562
36005040600,15,754,0.327893175,28966,3531,1.683061041
36005040701,6,637,0.175438596,31045,14621,1.23259804
36005040702,13,1326,0.229487179,27951,15782,1.809898645
36005040800,18,901,0.247823564,30428,10157,-0.127600603
36005040900,27,559,0.263908702,50669,21920,-0.782300921
36005041100,3,541,0.325791855,32127,15782,1.357120796
36005041300,7,1330,0.210963455,37719,15782,1.55106364
36005041400,12,952,0.442324756,54583,14048,-0.377872649
36005041500,10,969,0.150485437,33890,17526,2.198811136
36005041800,9,695,0.347509113,38178,83184,-0.737271432
36005041900,34,1198,0.154877141,37143,27496,1.235318765
36005042000,20,703,0.276283619,24670,22033,3.059969835
36005042100,31,1079,0.117476131,39231,23561,2.795651446
36005042200,9,534,0.348580442,52656,17142,-1.135365545
36005042300,8,767,0.262868909,40151,20042,0.093347082
36005042400,11,406,0.405379443,57500,17142,-1.734902384
36005042500,19,1454,0.176307586,35392,27496,1.816867829
36005042600,4,1118,0.494460272,61250,17142,-4.497988113
36005042800,11,380,0.431034483,61515,14172,-1.47275164
36005042901,5,671,0.174161897,37317,20042,0.207636819
36005042902,7,738,0.251554941,26823,20042,1.860420742
36005043000,8,510,0.476557033,51399,17142,-2.927105076
36005043100,5,1667,0.196813496,32745,20042,0.514162994
36005043400,12,696,0.425679949,45136,14851,0.008994875
36005043600,1,371,0.42,57645,10326,-3.088340752
36005044200,3,720,0.293492696,38849,14851,-1.369682313
36005044400,11,688,0.375690608,59656,14851,-1.124241319
36005044800,3,330,0.474832215,82303,6052,-3.597783053
36005044901,0,209,0.39483871,67537,29411,0.011437793
36005044902,2,195,0.382608696,54844,7925,1.821388588
36005045101,1,161,0.484455959,59788,29411,3.409299967
36005045102,2,198,0.50955414,75673,83184,1.684991021
36005045600,2,546,0.619408121,73309,102269,-2.578926014
36005045800,14,1625,0.189344852,19632,15631,0.337435063
36005046000,8,450,0.283914729,39769,15631,1.349473697
36005046201,32,3315,0.353744777,44856,129175,0.040629557
36005046202,20,1618,0.3683858,35096,26045,-1.086618443
36005048400,18,727,0.409350057,69950,15631,-1.419708817
36005051600,6,565,0.729791099,75893,15067,-0.679164887
36047000100,2,311,0.061349693,80318,136343,2.23952
36047000200,10,306,0.0681458,35500,141821,0.253158229
36047000301,0,323,0.07951686,105509,136343,3.208509649
36047000501,1,213,0.058984375,110625,4472,2.970575991
36047000502,0,144,0.057053292,90375,13921,2.991245184
36047000700,0,306,0.072756669,135096,136343,2.065313318
36047000900,4,195,0.030122722,117348,27766,3.22899244
36047001300,10,82,0.07925636,109821,57580,0.715958088
36047001500,11,384,0.099494098,90993,123631,6.052790125
36047002000,0,337,0.146084337,71442,141821,1.158786609
36047002100,3,173,0.115433404,204205,136425,1.62334535
36047002200,10,671,0.206669592,38702,141821,0.196742039
36047002300,1,934,0.064490446,20169,123631,-0.073242319
36047002901,1,725,0.081168831,14872,123631,2.863217678
36047003000,1,254,0.43061674,65699,14350,-2.68011126
36047003100,6,102,0.118367347,71797,53586,3.223193263
36047003300,21,174,0.073300971,98472,53586,4.775026961
36047003400,3,369,0.451450189,84091,49603,-0.10067502
36047003500,13,119,0.09375,60435,52508,1.196464555
36047003600,2,389,0.270872865,70081,14350,-0.040902557
36047003700,19,26,0.044802867,101579,14412,5.452433312
36047003800,1,153,0.491071429,99459,49603,-1.721429391
36047003900,8,157,0.02815979,104728,35578,1.992727657
36047004100,6,337,0.050543222,108105,35578,1.501338362
36047004300,7,234,0.037346437,108929,35578,2.868500504
36047004400,3,345,0.43877551,86667,49603,-2.267624514
36047004500,0,317,0.036188731,126250,19286,1.197810947
36047004600,16,206,0.480662983,90556,49603,-1.564526655
36047004700,4,184,0.248682824,104471,136343,0.331651977
36047004900,4,192,0.106024096,104444,19286,5.002541049
36047005000,6,293,0.512632437,82802,49603,-0.86215585
36047005100,1,194,0.111350575,87438,132245,0.358053538
36047005201,0,117,0.392026578,17129,49603,3.836741376
36047005202,0,155,0.33976834,68750,49603,1.477293186
36047005300,13,204,0.184971098,70737,48380,0.819465306
36047005400,1,272,0.228519196,57928,49603,1.590819296
36047005601,1,185,0.246025738,52761,49603,1.42098721
36047005602,1,124,0.359163592,53167,49603,0.897803639
36047005800,4,320,0.309595655,47118,16937,2.373710347
36047005900,2,186,0.106598985,57135,164326,2.314988886
36047006000,1,371,0.154824233,68438,15124,-0.622272097
36047006200,8,421,0.166272656,45139,16150,0.903531504
36047006300,3,152,0.144631766,90341,40641,1.565348793
36047006400,4,499,0.335102853,51667,16150,-0.845839827
36047006500,8,442,0.07253886,104172,164326,1.811397073
36047006600,1,479,0.244114637,59852,16150,0.19190609
36047006700,3,347,0.114564831,156118,10979,-1.282941674
36047006800,22,840,0.362649294,37012,16150,0.040194055
36047006900,11,329,0.134941576,116058,10979,0.540538472
36047007000,2,285,0.24251806,43309,26501,-0.487882736
36047007100,4,889,0.111449452,31632,6510,-0.301664273
36047007200,1,338,0.155645982,37140,141821,-2.572734874
36047007400,11,968,0.161210112,40625,33181,0.171162617
36047007500,6,440,0.074868074,135218,10979,1.052417587
36047007600,12,662,0.14796748,32616,33181,0.614484317
36047007700,6,321,0.08203125,120290,164326,1.262695768
36047007800,12,901,0.138076923,39375,33181,-1.640851359
36047008000,8,720,0.101147028,49081,33181,-0.479704402
36047008200,8,709,0.166842105,42412,33181,-0.571435405
36047008400,13,541,0.114411441,43942,34184,-1.986251014
36047008500,4,1575,0.051884216,14002,6070,0.278560967
36047008800,7,460,0.095583388,40982,13221,-0.350248926
36047009000,2,510,0.119393557,33654,12139,-0.867823536
36047009200,11,981,0.137342908,39122,10523,0.032310223
36047009400,12,932,0.270510836,38460,10523,-0.991737684
36047009600,9,1032,0.223542518,38148,7111,0.45017205
36047009800,14,1265,0.141537446,29232,7111,0.286426155
36047010000,14,1120,0.161124307,27529,7111,0.574019555
36047010100,4,626,0.203712087,44259,28491,-0.198249329
36047010200,8,854,0.15903942,43646,12405,-0.372229937
36047010400,16,921,0.155868902,34412,10523,0.776941531
36047010600,11,913,0.266717909,33090,10523,0.119795599
36047010800,25,818,0.159309995,31400,10523,1.382993329
36047011000,9,450,0.156646909,38618,27531,-1.169951333
36047011200,15,1423,0.229735587,30142,18257,0.172311475
36047011400,3,803,0.184141547,42159,18257,0.124426103
36047011600,2,922,0.26753122,34279,18257,-0.139190172
36047011700,1,275,0.090322581,74125,49664,3.33498641
36047011800,11,381,0.190857143,29438,12405,-2.07369782
36047011900,6,102,0.091646391,82500,164326,1.317942669
36047012000,15,229,0.195895522,55000,141686,-0.608221368
36047012100,4,142,0.122807018,81875,34320,0.508780606
36047012200,14,927,0.189427313,35363,141821,0.228973414
36047012600,11,470,0.290627687,36993,141686,-0.103181872
36047012700,6,498,0.091579594,45787,27725,-0.103890124
36047012801,4,306,0.513733469,44583,15806,-0.889064223
36047012901,13,189,0.015393073,77898,57885,0.525677014
36047012902,7,161,0.091065292,87321,57885,1.331693518
36047013000,16,736,0.172644668,50306,16150,1.720384444
36047013100,3,309,0.107924528,104688,13362,1.42867372
36047013200,8,414,0.298728814,56442,15942,-1.602672785
36047013300,8,377,0.07192846,132768,13362,-0.363275086
36047013400,18,611,0.359459459,67500,141686,-0.934781268
36047013500,11,437,0.125581395,118472,13362,0.226042715
36047013600,7,583,0.290697674,68182,101231,-0.146038706
36047013700,3,278,0.109932498,94925,13362,2.366561609
36047013800,4,363,0.251435132,61336,16150,0.170958128
36047013900,11,377,0.125528914,89083,13362,0.630655838
36047014000,0,253,0.429299363,58939,20977,-0.452092543
36047014100,5,306,0.115687993,91719,16689,-0.140136747
36047014200,1,396,0.224199288,49350,101231,0.902945484
36047014300,9,394,0.234381923,67955,105001,0.730369793
36047014500,12,503,0.158028271,62602,28491,1.957001959
36047014700,6,275,0.108433735,70669,105001,2.709763792
36047014800,2,163,0.601113173,60486,32938,-2.582232013
